banda_riesgo,clientes,probabilidad_promedio,tasa_real_dificultad_pago,clientes_riesgo_estimado,orden_banda
Crítico,30751,0.8501267604159214,0.4416116549055315,23518,1
Alto,61502,0.5374443045253814,0.11121589541803518,0,2
Medio,92253,0.28498787826488026,0.035847072723922256,0,3
Bajo,123005,0.10870361634002845,0.008926466403804723,0,4
